MQ2,MQ3,MQ5,MQ8,MQ135
43,102,15,85,581
49,100,20,82,587
50,100,18,83,587
50,102,17,84,582
53,105,16,86,585
48,100,17,89,585
56,102,18,85,584
68,102,14,87,576
64,88,28,81,595
43,95,16,95,599
51,92,11,103,601
61,92,18,84,581
51,100,7,98,594
47,100,11,100,583
47,109,26,93,594
51,96,14,84,585
52,96,17,87,581
46,95,15,84,584
53,98,18,87,581
52,100,15,85,585
55,100,16,84,585
51,97,15,89,594
54,100,15,89,585
43,100,18,84,586
52,97,16,85,583
49,103,20,84,586
46,102,11,86,584
51,100,16,85,586
46,92,18,85,584
51,100,18,82,583
60,111,10,92,597
54,99,15,84,585
55,99,16,90,585
55,98,20,86,584
51,100,15,81,586
58,99,15,85,586
49,97,19,88,584
47,99,18,86,584
47,99,19,84,584
54,106,28,98,596
45,109,27,80,585
50,110,15,83,589
57,97,20,92,599
46,96,18,73,580
48,115,25,86,602
62,95,25,91,589
63,111,20,96,582
50,98,19,79,582
45,100,20,88,586
48,95,18,84,585
49,101,16,80,580
55,101,15,83,586
51,104,14,85,589
46,100,14,86,585
50,99,19,85,589
57,99,8,98,588
51,97,17,82,583
51,94,19,81,585
48,103,17,81,589
47,98,20,89,586
50,99,15,88,586
49,100,19,78,585
54,101,15,83,587
53,99,23,85,588
48,101,19,75,587
53,104,16,80,583
53,98,15,80,587
51,102,19,76,587
48,102,18,82,586
49,98,21,82,587
49,98,19,79,588
51,113,29,89,588
38,102,19,76,582
54,97,11,93,604
58,87,7,79,583
51,103,16,89,601
54,101,28,90,602
39,111,24,72,582
60,107,25,88,601
50,96,18,86,591
46,99,16,80,585
52,101,15,84,591
47,98,16,81,587
47,100,19,82,583
54,98,17,83,585
52,96,16,82,584
53,100,17,82,585
48,99,18,92,581
57,100,18,82,582
48,101,16,79,589
51,97,13,80,587
47,99,21,85,588
51,98,18,85,593
49,99,11,83,584
45,97,20,81,588
55,97,17,82,586
53,100,17,88,587
49,97,15,85,592
54,99,15,86,586
53,103,15,85,588
47,94,18,82,590
52,97,15,85,587
50,99,21,80,588
47,94,18,73,589
53,111,29,97,604
57,94,10,76,606
46,114,29,74,586
61,88,14,92,593
47,100,20,90,606
45,103,31,76,575
50,91,6,81,585
54,98,15,85,587
46,98,16,81,586
57,98,19,80,588
53,100,21,83,531
50,103,13,85,590
50,97,17,84,589
51,100,18,82,590
52,101,18,85,582
49,96,19,82,586
49,100,12,84,587
52,94,17,81,591
48,98,15,85,588
54,97,14,87,590
49,99,14,82,584
51,97,16,83,588
45,100,15,85,586
48,96,16,81,590
48,99,15,83,587
53,104,16,82,591
55,100,15,86,590
48,101,21,86,596
48,95,16,86,589
55,104,16,88,591
51,103,19,83,590
42,112,30,71,599
56,96,10,95,605
60,85,7,91,587
45,114,29,94,607
59,100,18,84,591
35,114,16,78,587
62,89,6,102,595
58,96,8,76,605
53,99,19,85,590
49,99,12,83,593
51,97,18,82,590
48,101,18,85,593
49,97,14,84,590
53,100,13,84,588
51,106,18,87,592
50,96,16,83,589
54,98,15,78,587
54,99,11,84,589
49,103,16,84,585
50,102,16,84,590
48,105,15,88,586
46,92,11,84,589
48,99,28,87,590
60,94,11,78,583
55,100,18,86,585
50,96,19,88,591
52,104,15,84,589
52,99,20,81,586
56,103,21,85,591
52,104,18,85,592
49,98,17,86,588
52,101,21,84,592
49,98,16,85,587
51,100,13,77,592
52,94,14,86,587
49,97,16,84,592
46,104,16,84,589
55,98,14,84,584
51,96,14,83,592
51,96,14,83,588
54,100,18,86,592
55,98,20,86,584
48,96,13,85,580
52,101,16,84,585
54,94,16,86,589
54,97,12,82,592
47,96,14,85,595
47,100,15,80,589
47,96,18,85,590
49,97,16,89,593
50,104,23,83,590
52,99,20,85,589
50,102,12,83,592
52,93,15,79,589
47,102,17,87,589
47,97,15,82,590
49,98,14,82,590
45,96,15,83,588
55,98,17,79,589
50,102,19,84,591
53,100,18,85,591
46,110,16,78,594
48,89,15,77,585
45,101,24,96,601
43,109,14,96,586
41,113,11,96,591
61,93,14,79,604
62,90,11,92,607
44,105,14,90,591
51,93,16,82,589
53,101,16,85,590
47,102,17,83,593
52,98,14,82,585
52,102,16,85,596
55,103,17,84,591
52,101,18,85,593
63,112,11,93,594
64,89,6,90,610
64,90,7,79,588
52,108,14,98,605
44,113,23,93,592
34,118,11,96,590
65,92,20,97,604
42,111,11,97,585
41,103,19,75,585
53,99,19,82,592
54,95,18,83,592
54,96,17,83,590
51,101,16,82,591
45,97,18,86,588
51,100,16,84,595
49,97,15,86,596
54,110,18,76,525
65,91,6,100,606
63,107,10,98,607
47,105,5,95,590
41,105,28,75,595
55,98,14,75,590
68,92,13,88,586
59,112,10,75,585
53,103,15,82,591
55,101,19,80,592
50,96,17,85,595
58,98,23,85,595
55,95,16,84,596
47,101,15,83,590
54,104,15,85,592
55,100,18,86,589
49,103,17,84,597
53,108,31,77,593
47,104,19,94,604
49,96,10,94,598
40,115,17,87,588
67,94,7,102,603
37,109,22,88,592
70,84,6,90,601
56,97,18,84,594
48,100,15,85,595
51,102,16,83,593
50,101,17,82,590
47,102,12,85,597
51,97,15,82,593
50,102,17,82,591
51,102,17,77,590
48,106,15,94,602
45,117,14,96,599
63,91,16,87,599
53,91,21,88,597
64,95,13,85,589
43,104,21,85,596
62,85,8,96,604
49,112,9,92,601
63,90,6,95,608
53,97,14,81,592
54,100,13,83,596
52,98,18,85,594
47,96,20,86,592
51,100,19,82,591
49,97,16,88,589
54,103,16,84,593
50,96,16,85,590
49,102,18,87,594
53,103,16,84,588
52,100,19,81,586
58,100,17,82,586
52,101,16,83,591
48,102,18,83,591
49,113,30,97,605
56,95,16,85,593
56,100,16,79,531
48,100,20,80,596
52,99,19,80,590
50,102,14,82,595
55,103,18,87,596
54,99,19,88,597
47,101,19,81,594
59,110,25,89,587
43,116,12,95,601
62,112,19,75,598
62,95,8,92,595
55,97,17,81,599
61,96,30,95,605
52,108,7,88,605
42,103,21,85,602
54,94,14,97,600
51,102,15,83,591
53,101,17,82,595
52,100,18,87,594
56,96,15,85,596
52,99,15,85,596
51,101,17,85,593
49,101,17,85,587
67,102,9,82,594
49,95,15,84,592
52,96,16,85,599
51,102,14,83,595
50,98,17,86,596
52,102,20,84,593
52,102,17,84,590
49,96,21,85,594
56,99,15,87,589
51,100,18,83,597
50,99,16,82,595
49,96,17,87,594
50,98,14,83,593
53,96,17,87,595
49,100,12,84,582
47,103,20,84,592
71,90,11,72,607
56,108,29,84,608
59,110,22,77,607
64,94,9,99,610
42,102,27,78,593
41,114,27,82,599
45,112,23,93,613
45,97,13,84,586
49,116,30,98,606
